trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
safety,116,0.000264259,3,,worst,4.74E-05,5,1
highest,113,0.000257425,2,,based,2.84E-05,3,1
americas,71,0.000161745,4,,spoke,4.74E-05,5,1
allow,111,0.000252869,2,,prices,1.89E-05,2,1
save,88,0.000200472,1,,debate,4.36E-04,46,2
built,106,0.000241478,1,,stories,9.47E-05,10,2
meet,73,0.000166301,1,,leaving,3.79E-05,4,2
taken,109,0.000248313,2,,facts,3.50E-04,37,1
friend,104,0.000236922,1,,talking,9.47E-05,10,2
stronger,100,0.00022781,2,,ukraine,1.89E-05,2,2
voters,87,0.000198194,2,,process,9.47E-06,1,2
failing,119,0.000271093,2,,historic,2.37E-04,25,3
watching,111,0.000252869,2,,happened,6.63E-05,7,2
ridiculous,119,0.000271093,4,,leadership,1.89E-04,20,3
politics,84,0.00019136,3,,three,0.000265239,28,1
stay,91,0.000207307,1,,worked,0.000170511,18,1
smart,109,0.000248313,1,,choice,0.000284185,30,1
agenda,109,0.000248313,3,,foreign,0.000179984,19,2
virginia,108,0.000246034,3,,birthday,0.000521006,55,2
sad,117,0.000266537,1,,dangerous,8.53E-05,9,3
college,22,5.01E-05,2,,send,3.41E-04,36,1
ive,76,0.000173135,1,,caught,9.47E-06,1,1
laws,110,0.000250591,1,,members,2.84E-04,30,2
control,100,0.00022781,2,,everybody,0.000397859,42,5
race,103,0.000234644,1,,came,0.000123147,13,1
past,85,0.000193638,1,,wage,0.000975702,103,1
veterans,74,0.000168579,3,,former,7.58E-05,8,2
interest,85,0.000193638,3,,saying,6.63E-05,7,2
billions,108,0.000246034,2,,success,1.89E-04,20,2
winning,112,0.000255147,2,,amazing,6.63E-05,7,3
four,57,0.000129851,1,,strongly,2.84E-05,3,2
angry,115,0.000261981,2,,especially,9.47E-06,1,4
public,98,0.000223253,2,,try,3.03E-04,32,1
lowest,100,0.00022781,2,,force,7.58E-05,8,1
needed,109,0.000248313,1,,fully,1.89E-05,2,2
address,41,9.34E-05,2,,check,4.74E-04,50,1
cnn,115,0.000261981,1,,started,0.000142093,15,1
worst,109,0.000248313,1,,violence,0.000682044,72,2
based,111,0.000252869,1,,add,0.000719936,76,1
